2026-09-22 10:21:18,565 | INFO | [15/16] https://www.ing.be/fr/particuliers/gerer-le-quotidien/mgm-inviter-ao
2026-09-22 10:21:20,348 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/gerer-le-quotidien/mgm-inviter-ao (may not have one, or uses an unlisted selector)
2026-09-22 10:21:22,324 | INFO | Saved ing__mgm-inviter-ao (html: ing_mgm-inviter-ao.html, screenshot: ing_mgm-inviter-ao.png)
2026-09-22 10:21:22,326 | INFO | [16/16] https://www.ing.be/fr/particuliers/epargner/epargne-vers-propriete
2026-09-22 10:21:24,307 | INFO | Dismissed cookie banner via 'ing-form ing-button' (frame: https://www.ing.be/fr/particuliers/epargner/epargne-vers-pro) on https://www.ing.be/fr/particuliers/epargner/epargne-vers-propriete
2026-09-22 10:21:26,557 | INFO | Saved ing__epargne-vers-propriete (html: ing_epargne-vers-propriete.html, screenshot: ing_epargne-vers-propriete.png)
2026-09-22 10:21:27,308 | INFO | === Scraping ing_adult (ING) — 6 pages ===
2026-09-22 10:21:28,252 | INFO | [1/6] https://www.ing.be/fr/particuliers/epargner/compte-epargne-classique
2026-09-22 10:21:30,462 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner/compte-epargne-classique (may not have one, or uses an unlisted selector)
2026-09-22 10:21:31,947 | INFO | Saved ing_adult__compte-epargne-classique (html: ing_adult_compte-epargne-classique.html, screenshot: ing_adult_compte-epargne-classique.png)
2026-09-22 10:21:31,948 | INFO | [2/6] https://www.ing.be/fr/particuliers/epargner/compte-epargne-automatique
2026-09-22 10:21:33,883 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner/compte-epargne-automatique (may not have one, or uses an unlisted selector)
2026-09-22 10:21:35,421 | INFO | Saved ing_adult__compte-epargne-automatique (html: ing_adult_compte-epargne-automatique.html, screenshot: ing_adult_compte-epargne-automatique.png)
2026-09-22 10:21:35,421 | INFO | [3/6] https://www.ing.be/fr/particuliers/cartes-de-credit/carte-de-credit-visa
2026-09-22 10:21:37,361 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/cartes-de-credit/carte-de-credit-visa (may not have one, or uses an unlisted selector)
2026-09-22 10:21:39,294 | INFO | Saved ing_adult__carte-de-credit-visa (html: ing_adult_carte-de-credit-visa.html, screenshot: ing_adult_carte-de-credit-visa.png)
2026-09-22 10:21:39,294 | INFO | [4/6] https://www.ing.be/fr/particuliers/cartes-de-credit/comparatif-cartes-de-credit
2026-09-22 10:21:41,254 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/cartes-de-credit/comparatif-cartes-de-credit (may not have one, or uses an unlisted selector)
2026-09-22 10:21:43,210 | INFO | Saved ing_adult__comparatif-cartes-de-credit (html: ing_adult_comparatif-cartes-de-credit.html, screenshot: ing_adult_comparatif-cartes-de-credit.png)
2026-09-22 10:21:43,210 | INFO | [5/6] https://www.ing.be/fr/particuliers/epargner
2026-09-22 10:21:45,154 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/epargner (may not have one, or uses an unlisted selector)
2026-09-22 10:21:46,388 | INFO | Saved ing_adult__epargner (html: ing_adult_epargner.html, screenshot: ing_adult_epargner.png)
2026-09-22 10:21:46,390 | INFO | [6/6] https://www.ing.be/fr/particuliers/investir/commencer-a-investir
2026-09-22 10:21:48,274 | INFO | No cookie banner matched/dismissed for https://www.ing.be/fr/particuliers/investir/commencer-a-investir (may not have one, or uses an unlisted selector)
2026-09-22 10:21:49,547 | INFO | Saved ing_adult__commencer-a-investir (html: ing_adult_commencer-a-investir.html, screenshot: ing_adult_commencer-a-investir.png)
2026-09-22 10:21:50,284 | INFO | Skipping bnp_fortis — blocked by Akamai Bot Manager, collected manually.
2026-09-22 10:21:50,301 | INFO | === Scraping kbc (KBC) — 11 pages ===
2026-09-22 10:21:51,230 | INFO | [1/11] https://www.kbcbrussels.be/particuliers/fr/produits/paiements/comptes-a-vue/compte-jeunes.html
2026-09-22 10:21:53,820 | INFO | Dismissed cookie banner via get_by_role(accepter) on https://www.kbcbrussels.be/particuliers/fr/produits/paiements/comptes-a-vue/compte-jeunes.html
2026-09-22 10:21:56,136 | INFO | Saved kbc__compte-jeunes-html (html: kbc_compte-jeunes-html.html, screenshot: kbc_compte-jeunes-html.png)
2026-09-22 10:21:56,137 | INFO | [2/11] https://www.kbcbrussels.be/particuliers/fr/jeunes/18-ans.html
2026-09-22 10:21:58,566 | INFO | No cookie banner matched/dismissed for https://www.kbcbrussels.be/particuliers/fr/jeunes/18-ans.html (may not have one, or uses an unlisted selector)
2026-09-22 10:21:59,736 | INFO | Saved kbc__18-ans-html (html: kbc_18-ans-html.html, screenshot: kbc_18-ans-html.png)
2026-09-22 10:21:59,736 | INFO | [3/11] https://www.kbcbrussels.be/particuliers/fr/jeunes/18-ans/digitaal.htm
2026-09-22 10:22:01,944 | INFO | No cookie banner matched/dismissed for https://www.kbcbrussels.be/particuliers/fr/jeunes/18-ans/digitaal.htm (may not have one, or uses an unlisted selector)
2026-09-22 10:22:02,904 | INFO | Saved kbc__digitaal-htm (html: kbc_digitaal-htm.html, screenshot: kbc_digitaal-htm.png)
2026-09-22 10:22:02,904 | INFO | [4/11] https://www.kbcbrussels.be/particuliers/fr/jeunes/etudier-a-l-etranger.html
2026-09-22 10:22:05,171 | INFO | No cookie banner matched/dismissed for https://www.kbcbrussels.be/particuliers/fr/jeunes/etudier-a-l-etranger.html (may not have one, or uses an unlisted selector)
2026-09-22 10:22:06,353 | INFO | Saved kbc__etudier-a-l-etranger-html (html: kbc_etudier-a-l-etranger-html.html, screenshot: kbc_etudier-a-l-etranger-html.png)
2026-09-22 10:22:06,354 | INFO | [5/11] https://www.kbcbrussels.be/particuliers/fr/jeunes/changer-de-compte.html
2026-09-22 10:22:08,778 | INFO | No cookie banner matched/dismissed for https://www.kbcbrussels.be/particuliers/fr/jeunes/changer-de-compte.html (may not have one, or uses an unlisted selector)
2026-09-22 10:22:09,777 | INFO | Saved kbc__changer-de-compte-html (html: kbc_changer-de-compte-html.html, screenshot: kbc_changer-de-compte-html.png)
2026-09-22 10:22:09,778 | INFO | [6/11] https://www.kbcbrussels.be/particuliers/fr/jeunes/conseils-recevoir-argent-de-poche.html
2026-09-22 10:22:11,816 | INFO | No cookie banner matched/dismissed for https://www.kbcbrussels.be/particuliers/fr/jeunes/conseils-recevoir-argent-de-poche.html (may not have one, or uses an unlisted selector)
2026-09-22 10:22:13,069 | INFO | Saved kbc__conseils-recevoir-argent-de-poche-html (html: kbc_conseils-recevoir-argent-de-poche-html.html, screenshot: kbc_conseils-recevoir-argent-de-poche-html.png)
2026-09-22 10:22:13,069 | INFO | [7/11] https://www.kbcbrussels.be/particuliers/fr/placements/investir-pour-les-jeunes.html
2026-09-22 10:22:15,214 | INFO | No cookie banner matched/dismissed for https://www.kbcbrussels.be/particuliers/fr/placements/investir-pour-les-jeunes.html (may not have one, or uses an unlisted selector)
2026-09-22 10:22:16,163 | INFO | Saved kbc__investir-pour-les-jeunes-html (html: kbc_investir-pour-les-jeunes-html.html, screenshot: kbc_investir-pour-les-jeunes-html.png)
2026-09-22 10:22:16,164 | INFO | [8/11] https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/compte-jeunes.html
2026-09-22 10:22:16,164 | WARNING | Skipped: No robots.txt loaded for domain 'www.kbc.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:22:16,164 | INFO | [9/11] https://www.kbc.be/particuliers/fr/jeunes/18-ans.html
2026-09-22 10:22:16,165 | WARNING | Skipped: No robots.txt loaded for domain 'www.kbc.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:22:16,165 | INFO | [10/11] https://www.kbc.be/particuliers/fr/campagne/compte-jeunes-action.html
2026-09-22 10:22:16,165 | WARNING | Skipped: No robots.txt loaded for domain 'www.kbc.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:22:16,166 | INFO | [11/11] https://www.kbc.be/particuliers/fr/jeunes.html
2026-09-22 10:22:16,166 | WARNING | Skipped: No robots.txt loaded for domain 'www.kbc.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:22:16,900 | INFO | === Scraping belfius (Belfius) — 3 pages ===
2026-09-22 10:22:17,822 | INFO | [1/3] https://www.belfius.be/site/retail/fr/produits/paiement/compte-bancaire-pour-jeunes
2026-09-22 10:22:22,607 | INFO | Dismissed cookie banner via '#onetrust-accept-btn-handler' (frame: https://www.belfius.be/site/retail/fr/produits/paiement/comp) on https://www.belfius.be/site/retail/fr/produits/paiement/compte-bancaire-pour-jeunes
2026-09-22 10:22:24,860 | INFO | Saved belfius__compte-bancaire-pour-jeunes (html: belfius_compte-bancaire-pour-jeunes.html, screenshot: belfius_compte-bancaire-pour-jeunes.png)
2026-09-22 10:22:24,860 | INFO | [2/3] https://www.belfius.be/site/retail/fr/produits/paiement/compte-bancaire/beats-star
2026-09-22 10:22:26,911 | INFO | No cookie banner matched/dismissed for https://www.belfius.be/site/retail/fr/produits/paiement/compte-bancaire/beats-star (may not have one, or uses an unlisted selector)
2026-09-22 10:22:28,588 | INFO | Saved belfius__beats-star (html: belfius_beats-star.html, screenshot: belfius_beats-star.png)
2026-09-22 10:22:28,589 | INFO | [3/3] https://www.belfius.be/site/retail/fr/produits/paiement/carte-de-credit-et-prepayee/mastercard-star
2026-09-22 10:22:31,347 | INFO | No cookie banner matched/dismissed for https://www.belfius.be/site/retail/fr/produits/paiement/carte-de-credit-et-prepayee/mastercard-star (may not have one, or uses an unlisted selector)
2026-09-22 10:22:32,905 | INFO | Saved belfius__mastercard-star (html: belfius_mastercard-star.html, screenshot: belfius_mastercard-star.png)
2026-09-22 10:22:33,630 | INFO | === Scraping revolut (Revolut) — 13 pages ===
2026-09-22 10:22:34,564 | INFO | [1/13] https://www.revolut.com/revolut-kids-teens/
2026-09-22 10:22:37,811 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/revolut-kids-teens/ (may not have one, or uses an unlisted selector)
2026-09-22 10:22:39,700 | INFO | Saved revolut__revolut-kids-teens (html: revolut_revolut-kids-teens.html, screenshot: revolut_revolut-kids-teens.png)
